,Date,Plates Used,Human Traffic,Staff Presence
0,2024-04-30,7417,3599,328
1,2024-05-31,7034,3280,305
2,2024-06-30,6967,3361,320
3,2024-07-31,7668,3719,340
4,2024-08-31,7267,3541,359
5,2024-09-30,7049,3508,312
6,2024-10-31,6924,3193,318
7,2024-11-30,6991,3112,379
8,2024-12-31,6977,3220,311
9,2025-01-31,7219,3336,336
10,2025-02-28,6634,3172,290
11,2025-03-31,7058,3435,331
12,2025-04-30,6873,3220,317
13,2025-05-31,7532,3701,359
14,2025-06-30,6737,3069,311
15,2025-07-31,7360,3286,348
16,2025-08-31,7062,3310,337
17,2025-09-30,6988,3193,320
18,2025-10-31,6963,3193,359
19,2025-11-30,7281,3534,325
20,2025-12-31,7237,3571,312
21,2026-01-31,7233,3371,321
22,2026-02-28,6154,2621,320
23,2026-03-31,7449,3739,357
24,2026-04-30,7013,3451,327
25,2026-05-31,7198,3455,328
26,2026-06-30,6730,3108,298
27,2026-07-31,7471,3666,342
28,2026-08-31,7251,3632,346
29,2026-09-30,6928,3223,337
30,2026-10-31,7755,3843,354
31,2026-11-30,7220,3349,328
32,2026-12-31,7109,3209,337
33,2027-01-31,7433,3628,348
34,2027-02-28,6515,3078,310
35,2027-03-31,7307,3476,341
36,2027-04-30,7080,3282,324
37,2027-05-31,7243,3350,330
38,2027-06-30,7083,3347,343
39,2027-07-31,7836,3880,359
40,2027-08-31,7535,3741,327
41,2027-09-30,7212,3414,307
42,2027-10-31,7169,3404,340
43,2027-11-30,6943,3391,292
44,2027-12-31,7010,3251,334
45,2028-01-31,7326,3640,330
46,2028-02-29,6683,2894,334
47,2028-03-31,7533,3541,321
48,2028-04-30,7195,3533,335
49,2028-05-31,7211,3370,305
50,2028-06-30,6807,3046,333
51,2028-07-31,7206,3539,354
52,2028-08-31,7698,3790,347
53,2028-09-30,7046,3647,307
54,2028-10-31,7051,3295,355
55,2028-11-30,6621,3037,301
56,2028-12-31,7173,3395,322
57,2029-01-31,7175,3390,348
58,2029-02-28,6320,2863,324
59,2029-03-31,7183,3347,299
60,2029-04-30,7260,3366,346
61,2029-05-31,6952,3047,335
62,2029-06-30,7172,3601,341
63,2029-07-31,7372,3600,335
64,2029-08-31,7045,3343,316
65,2029-09-30,7417,3673,359
66,2029-10-31,7159,3457,324
67,2029-11-30,6949,3239,337
68,2029-12-31,7214,3443,354
69,2030-01-31,7563,3707,348
70,2030-02-28,6372,2855,315
71,2030-03-31,7228,3523,334
72,2030-04-30,6830,3242,322
73,2030-05-31,6867,3020,344
74,2030-06-30,7056,3408,330
75,2030-07-31,7359,3520,337
76,2030-08-31,7399,3636,355
77,2030-09-30,6900,3208,338
78,2030-10-31,7349,3612,301
79,2030-11-30,6937,3292,340
80,2030-12-31,7177,3199,338
81,2031-01-31,6828,3082,317
82,2031-02-28,6955,3247,319
83,2031-03-31,7245,3517,339
84,2031-04-30,7047,3420,315
85,2031-05-31,7272,3586,342
86,2031-06-30,7487,3516,379
87,2031-07-31,7148,3225,333
88,2031-08-31,7124,3500,309
89,2031-09-30,6816,3262,313
90,2031-10-31,7008,3300,325
91,2031-11-30,6959,3304,359
92,2031-12-31,7081,3397,321
93,2032-01-31,6852,3156,310
94,2032-02-29,6743,3337,325
95,2032-03-31,7082,3352,344
96,2032-04-30,6827,3121,324
97,2032-05-31,7311,3391,370
98,2032-06-30,6955,3211,321
99,2032-07-31,7503,3569,356
100,2032-08-31,7314,3504,346
101,2032-09-30,7287,3310,327
102,2032-10-31,7166,3360,362
103,2032-11-30,6702,2948,335
104,2032-12-31,7448,3605,335
105,2033-01-31,7290,3504,361
106,2033-02-28,6835,3380,321
107,2033-03-31,7383,3349,341
108,2033-04-30,6988,3284,348
109,2033-05-31,6992,3312,318
110,2033-06-30,6799,3012,308
111,2033-07-31,7141,3382,344
112,2033-08-31,7347,3561,345
113,2033-09-30,7273,3578,326
114,2033-10-31,7690,3897,317
115,2033-11-30,7010,3435,318
116,2033-12-31,7283,3435,350
117,2034-01-31,7179,3445,326
118,2034-02-28,6451,3025,301
119,2034-03-31,6661,3139,306
